t, PE, KE, TE,q1, q2,
0.000000, 652.430848, 0.000000, 652.430848,0.600000, 0.000000,
0.000625, 652.434794, 0.158376, 652.593171,0.599957, 0.000029,
0.001250, 652.446575, 0.629515, 653.076090,0.599829, 0.000117,
0.001875, 652.466160, 1.407397, 653.873557,0.599616, 0.000262,
0.002500, 652.493469, 2.486006, 654.979475,0.599318, 0.000465,
0.003125, 652.528465, 3.859272, 656.387737,0.598937, 0.000725,
0.003750, 652.571061, 5.521159, 658.092221,0.598473, 0.001042,
0.004375, 652.621217, 7.465555, 660.086772,0.597925, 0.001415,
0.005000, 652.678838, 9.686413, 662.365251,0.597296, 0.001844,
0.005625, 652.743879, 12.177586, 664.921464,0.596586, 0.002329,
0.006250, 652.816240, 14.933024, 667.749265,0.595794, 0.002869,
0.006875, 652.895870, 17.946556, 670.842427,0.594922, 0.003464,
0.007500, 652.982666, 21.212139, 674.194805,0.593970, 0.004113,
0.008125, 653.076570, 24.723581, 677.800151,0.592939, 0.004817,
0.008750, 653.177475, 28.474855, 681.652329,0.591829, 0.005575,
0.009375, 653.285316, 32.459760, 685.745077,0.590641, 0.006386,
0.010000, 653.399984, 36.672290, 690.072275,0.589375, 0.007250,
0.010625, 653.521410, 41.106244, 694.627654,0.588033, 0.008167,
0.011250, 653.649478, 45.755643, 699.405121,0.586614, 0.009136,
0.011875, 653.784116, 50.614292, 704.398408,0.585119, 0.010158,
0.012500, 653.925204, 55.676251, 709.601454,0.583549, 0.011231,
0.013125, 654.072664, 60.935337, 715.008001,0.581905, 0.012355,
0.013750, 654.226375, 66.385653, 720.612028,0.580186, 0.013530,
0.014375, 654.386254, 72.021039, 726.407292,0.578394, 0.014756,
0.015000, 654.552175, 77.835647, 732.387822,0.576530, 0.016032,
0.015625, 654.724053, 83.823343, 738.547396,0.574593, 0.017358,
0.016250, 654.901758, 89.978340, 744.880097,0.572584, 0.018733,
0.016875, 655.085200, 96.294535, 751.379735,0.570505, 0.020158,
0.017500, 655.274248, 102.766207, 758.040455,0.568355, 0.021631,
0.018125, 655.468807, 109.387294, 764.856101,0.566135, 0.023152,
0.018750, 655.668744, 116.152142, 771.820887,0.563846, 0.024722,
0.019375, 655.873962, 123.054739, 778.928701,0.561488, 0.026339,
0.020000, 656.084323, 130.089507, 786.173830,0.559063, 0.028004,
0.020625, 656.299727, 137.250487, 793.550214,0.556570, 0.029715,
0.021250, 656.520035, 144.532182, 801.052217,0.554010, 0.031473,
0.021875, 656.745144, 151.928693, 808.673836,0.551384, 0.033278,
0.022500, 656.974912, 159.434611, 816.409522,0.548693, 0.035128,
0.023125, 657.209233, 167.044100, 824.253333,0.545936, 0.037024,
0.023750, 657.447965, 174.751846, 832.199811,0.543116, 0.038965,
0.024375, 657.690998, 182.552083, 840.243081,0.540232, 0.040950,
0.025000, 657.938188, 190.439595, 848.377783,0.537284, 0.042980,
0.025625, 658.189424, 198.408692, 856.598116,0.534275, 0.045055,
0.026250, 658.444559, 206.454261, 864.898821,0.531203, 0.047173,
0.026875, 658.703481, 214.570693, 873.274174,0.528071, 0.049334,
0.027500, 658.966043, 222.752982, 881.719025,0.524877, 0.051538,
0.028125, 659.232128, 230.995606, 890.227733,0.521624, 0.053785,
0.028750, 659.501588, 239.293671, 898.795259,0.518312, 0.056075,
0.029375, 659.774308, 247.641745, 907.416052,0.514941, 0.058406,
0.030000, 660.050137, 256.035051, 916.085188,0.511512, 0.060779,
0.030625, 660.328957, 264.468254, 924.797210,0.508025, 0.063193,
0.031250, 660.610618, 272.936696, 933.547314,0.504482, 0.065648,
0.031875, 660.895001, 281.435141, 942.330141,0.500882, 0.068144,
0.032500, 661.181955, 289.959056, 951.141011,0.497227, 0.070680,
0.033125, 661.471359, 298.503310, 959.974669,0.493517, 0.073255,
0.033750, 661.763064, 307.063498, 968.826562,0.489753, 0.075871,
0.034375, 662.056946, 315.634596, 977.691542,0.485935, 0.078525,
0.035000, 662.352856, 324.212330, 986.565187,0.482064, 0.081218,
0.035625, 662.650671, 332.791789, 995.442460,0.478141, 0.083950,
0.036250, 662.950241, 341.368834, 1004.319075,0.474166, 0.086720,
0.036875, 663.251442, 349.938667, 1013.190110,0.470140, 0.089527,
0.037500, 663.554126, 358.497288, 1022.051414,0.466064, 0.092372,
0.038125, 663.858168, 367.040019, 1030.898186,0.461938, 0.095254,
0.038750, 664.163419, 375.562997, 1039.726416,0.457762, 0.098173,
0.039375, 664.469756, 384.061669, 1048.531425,0.453538, 0.101128,
0.040000, 664.777030, 392.532315, 1057.309344,0.449266, 0.104119,
0.040625, 665.085116, 400.970505, 1066.055621,0.444947, 0.107147,
0.041250, 665.393870, 409.372663, 1074.766533,0.440581, 0.110209,
0.041875, 665.703166, 417.734490, 1083.437656,0.436168, 0.113306,
0.042500, 666.012858, 426.052556, 1092.065414,0.431711, 0.116438,
0.043125, 666.322824, 434.322692, 1100.645516,0.427209, 0.119605,
0.043750, 666.632918, 442.541616, 1109.174534,0.422662, 0.122805,
0.044375, 666.943018, 450.705293, 1117.648311,0.418072, 0.126040,
0.045000, 667.252982, 458.810590, 1126.063572,0.413439, 0.129307,
0.045625, 667.562686, 466.853610, 1134.416296,0.408764, 0.132608,
0.046250, 667.871991, 474.831369, 1142.703360,0.404047, 0.135941,
0.046875, 668.180774, 482.740108, 1150.920882,0.399290, 0.139307,
0.047500, 668.488897, 490.576995, 1159.065892,0.394491, 0.142704,
0.048125, 668.796240, 498.338411, 1167.134651,0.389653, 0.146134,
